Clustering,Age,Answer Count,Reputation
2,13,60,12
2,14,51,6
2,15,109,12
2,16,118,12
2,17,114,11
2,18,120,12
2,19,113,11
2,20,123,11
2,21,138,12
2,22,144,12
2,23,176,13
2,24,189,14
2,25,253,17
2,26,307,19
2,27,347,20
2,28,435,22
2,29,574,25
2,30,622,27
1,31,742,28
1,32,902,32
1,33,891,31
1,34,1002,33
1,35,1082,36
1,36,1107,37
1,37,1196,40
1,38,1222,40
1,39,1474,47
1,40,1311,45
3,41,1646,58
1,42,1227,45
1,43,1180,44
3,44,1528,59
1,45,1339,49
3,46,1612,59
3,47,1697,60
1,48,1264,51
1,49,1147,52
1,50,1180,53
1,51,1007,47
1,52,1156,58
1,53,1251,64
1,54,962,56
3,55,1886,78
1,56,1166,69
3,57,1710,89
1,58,1214,77
1,59,1270,85
2,60,598,50
3,61,1858,110
3,62,1740,86
1,63,672,52
2,64,394,31
1,65,801,61
2,66,476,54
2,67,417,27
3,68,1590,114
1,69,681,57
2,70,209,14
2,71,274,24
2,72,523,64
2,73,612,67
1,74,1117,112
3,75,2183,38
1,76,830,47
2,77,228,27
3,78,2466,136
2,79,505,21
2,80,232,6
2,81,12,1
2,82,599,13
2,83,125,7
2,84,86,5
2,85,283,3
2,86,131,12
2,87,248,15
0,88,8098,195
2,89,162,11
3,90,2997,97
3,91,1700,64
1,92,1151,45
2,93,287,15
2,94,231,12
2,95,469,15
1,96,1057,50
3,97,2837,72
2,100,6,1
2,103,8,1
2,109,101,6
2,111,438,22
2,113,2,1
2,116,5,1
2,117,14,4
2,127,11,3
2,129,1,1
2,141,329,6
2,145,55,1
2,147,21,3
